smiles	name
c1ccc(cc1)C#Cc2ccc(cc2)C(=O)[O-]	EN300-24000_i001
c1ccc(cc1)C#Cc2cc(co2)C(=O)[O-]	EN300-40899_i001
C#Cc1ccc(nc1)C(=O)[O-]	EN300-69369_i001
C#Cc1ccc(cn1)C(=O)[O-]	EN300-69433_i001
C#CCOc1ccc(cc1)C(=O)[O-]	EN300-86189_i001
c1cc2c(cc1C#CC(=O)[O-])OCO2	EN300-108146_i001
C#CCOc1c(cccn1)C(=O)[O-]	EN300-71434_i001
C#CC[C@@H](CC(=O)[O-])c1ccccc1	EN300-126374_i001
C#CC[C@H](CC(=O)[O-])c1ccccc1	EN300-126374_i002
C#CCCCCC(=O)[O-]	EN300-125161_i001
C#CCCCCCC(=O)[O-]	EN300-121453_i001
C#CCC1(CCC1)C(=O)[O-]	EN300-115345_i001
C1CC(C1)C#CC(=O)[O-]	EN300-127644_i001
C#CCNC(=O)CC(=O)[O-]	EN300-128417_i001
C#CCCOc1ccc(cc1)C(=O)[O-]	EN300-131583_i001
c1ccc(cc1)C#CC(=O)[O-]	EN300-28604_i001
C#CCCC(=O)[O-]	EN300-115626_i001
C#CC[C@H](C(=O)[O-])O	EN300-179179_i001
C#CC[C@@H](C(=O)[O-])O	EN300-179179_i002
C#CCCCC(=O)[O-]	EN300-111911_i001
C1CCC#C[C@@H](CC1)OCC(=O)[O-]	EN300-179238_i001
C1CCC#C[C@H](CC1)OCC(=O)[O-]	EN300-179238_i002
C#Cc1cc(cnc1)C(=O)[O-]	EN300-120575_i001
C1COC[C@@H]1C#CC(=O)[O-]	EN300-202225_i001
C1COC[C@H]1C#CC(=O)[O-]	EN300-202225_i002
CCc1ccc(cc1)C#CC(=O)[O-]	EN300-222299_i001
Cn1cc(c(n1)C(=O)[O-])C#C	EN300-232797_i001
Cn1c(c(cn1)C#C)C(=O)[O-]	EN300-232826_i001
C#Cc1cnn(c1)CC(=O)[O-]	EN300-232827_i001
C[C@@H](C(=O)[O-])OCC#C	EN300-233422_i001
C[C@H](C(=O)[O-])OCC#C	EN300-233422_i002
COCC#CC(=O)[O-]	EN300-227022_i001
C#CCSc1cccc(c1)C(=O)[O-]	EN300-104682_i001
C#CC(=O)Nc1ccc(cc1)CC(=O)[O-]	EN300-245196_i001
C1COCCC1C#CC(=O)[O-]	EN300-189022_i001
CC(C)C#CC(=O)[O-]	EN300-227447_i001
C#CC(=O)Nc1ccc(cc1)C(=O)[O-]	EN300-245024_i001
C#CCC1(CCCCC1)C(=O)[O-]	EN300-171261_i001
C1CC1C#CC(=O)[O-]	EN300-147170_i001
c1cc(sc1)C#CC(=O)[O-]	EN300-248249_i001
C#CCC1(CCOCC1)C(=O)[O-]	EN300-257124_i001
C#CC[N@H+]1CCC[C@H]1C(=O)[O-]	EN300-295233_i001
C#CC[N@@H+]1CCC[C@H]1C(=O)[O-]	EN300-295233_i002
C#Cc1ccc(cc1)C(=O)[O-]	EN300-115688_i001
c1cc(cc(c1)C(=O)[O-])C#CCO	EN300-314730_i001
C#CC1(CC1)C(=O)[O-]	EN300-344867_i001
CC1(CC1)C#CC(=O)[O-]	EN300-345642_i001
CCC#CC(=O)[O-]	EN300-140007_i001
C#CC1CCC(CC1)C(=O)[O-]	EN300-768668_i001
C#CC1(CCC1)C(=O)[O-]	EN300-384415_i001
c1cc(ccc1C#CC(=O)[O-])Cl	EN300-743518_i001
c1cc(ccc1C#CC(=O)[O-])F	EN300-300626_i001
CC#CCS(=O)(=O)c1cccc(c1)C(=O)[O-]	EN300-746314_i001
C1C(CC1=O)C#CC(=O)[O-]	EN300-345279_i001
C1CCC(C1)C#CC(=O)[O-]	EN300-658952_i001
C1CCC(CC1)C#CC(=O)[O-]	EN300-787393_i001
C1C[C@H](OC1)C#CC(=O)[O-]	EN300-787409_i001
C1C[C@@H](OC1)C#CC(=O)[O-]	EN300-787409_i002
C1C[C@H](COC1)C#CC(=O)[O-]	EN300-787478_i001
C1C[C@@H](COC1)C#CC(=O)[O-]	EN300-787478_i002
CC(C)(C#C)C(=O)[O-]	EN300-195819_i001
C#Cc1ccc(c(c1)C(=O)[O-])Br	EN300-3035933_i001
C#CCCS(=O)(=O)c1ccc(c(c1)C(=O)[O-])F	EN300-1198129_i001
C#Cc1cc(cc(c1)Br)C(=O)[O-]	EN300-7471601_i001
CC(C)(CC#C)C(=O)[O-]	EN300-125027_i001
CC#CCCCC(=O)[O-]	EN300-129874_i001
CN(C)C(=O)C#CC(=O)[O-]	EN300-1588230_i001
C#CC[C@]1(CCCCO1)C(=O)[O-]	EN300-1177969_i001
C#CC[C@@]1(CCCCO1)C(=O)[O-]	EN300-1177969_i002
C1C2CC3CC1CC(C2)(C3)C#CC(=O)[O-]	EN300-1608816_i001
C#CC1(CCOCC1)C(=O)[O-]	EN300-637395_i001
CC(C)(C)C#CC(=O)[O-]	EN300-179974_i001
C#Cc1ccc(cc1)CC(=O)[O-]	EN300-1848131_i001
C#CCNS(=O)(=O)c1cccc(c1)C(=O)[O-]	EN300-14240_i001
C#Cc1ccc(cc1)CCCC(=O)[O-]	EN300-1762535_i001
C#Cc1ccc(cc1)[C@H]2C[C@H]2C(=O)[O-]	EN300-1825825_i001
C#Cc1ccc(cc1)[C@@H]2C[C@H]2C(=O)[O-]	EN300-1825825_i002
C#Cc1ccc(cc1)[C@H]2C[C@@H]2C(=O)[O-]	EN300-1825825_i003
C#Cc1ccc(cc1)[C@@H]2C[C@@H]2C(=O)[O-]	EN300-1825825_i004
C#Cc1cc(cc(c1)Cl)C(=O)[O-]	EN300-6287287_i001
C#CCSCC(=O)[O-]	EN300-86878_i001
C#Cc1ccc(cc1)C2(CC2)C(=O)[O-]	EN300-1827118_i001
C#CCCOCC(=O)[O-]	EN300-6948257_i001
C#CCOCCOCC(=O)[O-]	EN300-6963624_i001
C#CC[C@H](C1CC1)C(=O)[O-]	EN300-4271576_i001
C#CC[C@@H](C1CC1)C(=O)[O-]	EN300-4271576_i002
C#Cc1cccc(c1)CC(=O)[O-]	EN300-1850176_i001
C#Cc1cc(ccc1Cl)C(=O)[O-]	EN300-3035929_i001
COc1cc(ccc1OCC(=O)[O-])C#C	EN300-9430049_i001
CC#CCCC(=O)[O-]	EN300-2956168_i001
C#Cc1ccc(c(c1)C(=O)[O-])Cl	EN300-4287209_i001
C#CC[C@]1(CCCO1)C(=O)[O-]	EN300-2009807_i001
C#CC[C@@]1(CCCO1)C(=O)[O-]	EN300-2009807_i002
C#Cc1cccc(c1)C(=O)[O-]	EN300-331732_i001
C#CCC1(CCCC1)C(=O)[O-]	EN300-1239500_i001
C#CCNC(=O)[C@H]1C[C@H]1C(=O)[O-]	EN300-2526719_i001
Cc1cc(c(n1CC#C)C)C(=O)[O-]	EN300-7426227_i001
c1ccc(c(c1)C#CC(=O)[O-])Cl	EN300-743597_i001
C#CC[C@]1(CCOC1)C(=O)[O-]	EN300-1245459_i001
C#CC[C@@]1(CCOC1)C(=O)[O-]	EN300-1245459_i002
c1ccc(cc1)C#CCCC(=O)[O-]	EN300-8131116_i001
c1ccc(cc1)OCC#CC(=O)[O-]	EN300-6499283_i001
c1cc(ccc1C#CC2CC2)C(=O)[O-]	EN300-6493538_i001
