smiles	name
C#CCN1CC[NH2+]CC1	EN300-27346_i001
C#Cc1cccc(c1)NC(=O)C[NH3+]	EN300-49078_i001
C#CCCN1CC[NH2+]CC1	EN300-52435_i001
C#CCNC(=O)C[NH3+]	EN300-60761_i001
C#CCNC(=O)C[N@@]1CCC[NH2+]CC1	EN300-70271_i001
C#CCNC(=O)C[N@]1CCC[NH2+]CC1	EN300-70271_i002
C[NH2+]Cc1ccccc1OCC#C	EN300-70843_i001
C#CC[NH2+]Cc1ccc2ccccc2n1	EN300-94663_i001
Cc1cccc(n1)C[NH2+]CC#C	EN300-95371_i001
C#CC[N@]1CCC[C@H](C1)[NH3+]	EN300-85023_i001
C#CC[N@@]1CCC[C@H](C1)[NH3+]	EN300-85023_i002
C#CC[N@]1CCC[C@@H](C1)[NH3+]	EN300-85023_i003
C#CC[N@@]1CCC[C@@H](C1)[NH3+]	EN300-85023_i004
C#CC[NH2+]C[C@@H]1CCCO1	EN300-69116_i001
C#CC[NH2+]C[C@H]1CCCO1	EN300-69116_i002
C[NH2+]Cc1cnn(c1)CC#C	EN300-109345_i001
C[NH2+]CCOCC#C	EN300-108866_i001
C#CC[N@@]1CCC[NH2+]CC1	EN300-69673_i001
C#CC[N@]1CCC[NH2+]CC1	EN300-69673_i002
C#CC[NH2+][C@H]1CCOc2c1cc(cc2)Br	EN300-75317_i001
C#CC[NH2+][C@@H]1CCOc2c1cc(cc2)Br	EN300-75317_i002
C[NH2+]CC(=O)Nc1cccc(c1)C#C	EN300-45462_i001
CS(=O)(=O)Nc1cccc(c1)C#CC[NH3+]	EN300-41322_i001
C#C[C@]1(CC[NH2+]C1)O	EN300-132582_i001
C#C[C@@]1(CC[NH2+]C1)O	EN300-132582_i002
C#CC[NH2+]CCO	EN300-148307_i001
CC(C)([C@@H](C#C)[NH3+])OC	EN300-157379_i001
CC(C)([C@H](C#C)[NH3+])OC	EN300-157379_i002
C#CCn1cc(cn1)C[NH3+]	EN300-183393_i001
COCC[NH2+]Cc1ccn(n1)CC#C	EN300-188655_i001
CC[NH2+]Cc1ccn(n1)CC#C	EN300-188648_i001
C#CCOc1ccc(cc1)C[NH3+]	EN300-203524_i001
C#CCNC(=O)C1CC[NH2+]CC1	EN300-204107_i001
C#CCC[C@H](C[NH3+])O	EN300-198500_i001
C#CCC[C@@H](C[NH3+])O	EN300-198500_i002
C#CCC[C@H](CC[NH3+])O	EN300-204805_i001
C#CCC[C@@H](CC[NH3+])O	EN300-204805_i002
C#CCOc1cccc(c1)C[NH3+]	EN300-208254_i001
C#CCNC(=O)CN1CC[NH2+]CC1	EN300-213013_i001
C#C[C@@]1(CCC[C@H](C1)[NH3+])O	EN300-219517_i001
C#C[C@]1(CCC[C@H](C1)[NH3+])O	EN300-219517_i002
C#C[C@@]1(CCC[C@@H](C1)[NH3+])O	EN300-219517_i003
C#C[C@]1(CCC[C@@H](C1)[NH3+])O	EN300-219517_i004
C#CC1CCN(CC1)C(=O)C[NH3+]	EN300-219604_i001
C#CCO[C@@H]1CCC[NH2+]C1	EN300-239000_i001
C#CCO[C@H]1CCC[NH2+]C1	EN300-239000_i002
C[NH+](C)CC#CC[NH3+]	EN300-241661_i001
C[N@](CCC[NH3+])CC#C	EN300-223689_i001
C[N@@](CCC[NH3+])CC#C	EN300-223689_i002
C#CCOc1ccc(cc1)C[NH3+]	EN300-203523_i001
C#CCOc1ccccc1C[NH3+]	EN300-73330_i001
C#CC[NH2+][C@@H]1CCS(=O)(=O)C1	EN300-50270_i001
C#CC[NH2+][C@H]1CCS(=O)(=O)C1	EN300-50270_i002
CC#CC[C@@H](CO)[NH3+]	EN300-262088_i001
CC#CC[C@H](CO)[NH3+]	EN300-262088_i002
C#CC[NH2+]C1CSC1	EN300-299346_i001
C#C[C@H]([C@@H]1CCCCO1)[NH3+]	EN300-305440_i001
C#C[C@H]([C@H]1CCCCO1)[NH3+]	EN300-305440_i002
C#C[C@@H]([C@@H]1CCCCO1)[NH3+]	EN300-305440_i003
C#C[C@@H]([C@H]1CCCCO1)[NH3+]	EN300-305440_i004
C#CC[C@H](C[NH3+])O	EN300-297355_i001
C#CC[C@@H](C[NH3+])O	EN300-297355_i002
C#CC1(CC[NH2+]CC1)O	EN300-315807_i001
C#CCC[NH2+]C1COC1	EN300-306864_i001
COC[C@@H](CC#C)[NH3+]	EN300-322864_i001
COC[C@H](CC#C)[NH3+]	EN300-322864_i002
C#CCC1(CC[NH2+]CC1)O	EN300-374153_i001
CN1CCC(CC1)[NH2+]CC#C	EN300-376027_i001
CN1CCC(CC1)[NH2+]CC#C	EN300-376027_i002
C#CCC1(CCOCC1)[NH3+]	EN300-384633_i001
C#CC[NH2+]C1CCOCC1	EN300-376029_i001
C#CCN1CCC(CC1)[NH3+]	EN300-396179_i001
C#CCN1CCC(CC1)[NH3+]	EN300-396179_i002
CCOC(=O)C#CC[NH3+]	EN300-650549_i001
CO[C@@H]1C[NH2+]C[C@H]1C#C	EN300-37380631_i001
C#CC1(C[NH2+]C1)O	EN300-747168_i001
C#CC[NH2+][C@@H]1CCOC1	EN300-380048_i001
C#CC[NH2+][C@H]1CCOC1	EN300-380048_i002
C#CCOC1CC[NH2+]CC1	EN300-1080062_i001
C#CCC[NH2+]C1CCOCC1	EN300-1086737_i001
CC(C)(C#C)N1CC[NH2+]CC1	EN300-746889_i001
CO[C@H](C[NH3+])C#C	EN300-37080388_i001
CO[C@@H](C[NH3+])C#C	EN300-37080388_i002
C#CC[NH+]1CCC2(CC[NH2+]CC2)CC1	EN300-37099750_i001
C#CC[NH2+]Cc1ccccc1Cl	EN300-56901_i001
C#Cc1cccc(c1)NC(=O)CCC[NH3+]	EN300-36970556_i001
c1cc(cnc1)C#CC[NH3+]	EN300-1264986_i001
COCC[NH2+]CC#C	EN300-1600612_i001
C#C[C@@H](C[C@@H]1CCCO1)[NH3+]	EN300-6480877_i001
C#C[C@@H](C[C@H]1CCCO1)[NH3+]	EN300-6480877_i002
C#C[C@H](C[C@@H]1CCCO1)[NH3+]	EN300-6480877_i003
C#C[C@H](C[C@H]1CCCO1)[NH3+]	EN300-6480877_i004
C[NH2+]Cc1cnn(c1)CC#C	EN300-109295_i001
COCC[C@@H](CC#C)[NH3+]	EN300-322876_i001
COCC[C@H](CC#C)[NH3+]	EN300-322876_i002
C#C[C@H]([C@@H]1CCOC1)[NH3+]	EN300-153879_i001
C#C[C@H]([C@H]1CCOC1)[NH3+]	EN300-153879_i002
C#C[C@@H]([C@@H]1CCOC1)[NH3+]	EN300-153879_i003
C#C[C@@H]([C@H]1CCOC1)[NH3+]	EN300-153879_i004
C[C@@]1(COCC[NH2+]1)C#C	EN300-27103876_i001
C[C@]1(COCC[NH2+]1)C#C	EN300-27103876_i002
C#CC1(CCOCC1)C[NH3+]	EN300-37276279_i001
C#C[C@H](C1CC1)N2CC[NH2+]CC2	EN300-28234100_i001
C#C[C@@H](C1CC1)N2CC[NH2+]CC2	EN300-28234100_i002
C[C@H](C#C)[N@@]1CCC[NH2+]CC1	EN300-28244035_i001
C[C@H](C#C)[N@]1CCC[NH2+]CC1	EN300-28244035_i002
C[C@@H](C#C)[N@@]1CCC[NH2+]CC1	EN300-28244035_i003
C[C@@H](C#C)[N@]1CCC[NH2+]CC1	EN300-28244035_i004
C#C[C@H]1C2(CCOCC2)C[NH2+]1	EN300-28244062_i001
C#C[C@@H]1C2(CCOCC2)C[NH2+]1	EN300-28244062_i002
CCOC(=O)C1(CC[NH2+]CC1)CC#C	EN300-2072372_i001
C#C[C@@H](C[C@@H]1CCOC1)[NH3+]	EN300-2008984_i001
C#C[C@@H](C[C@H]1CCOC1)[NH3+]	EN300-2008984_i002
C#C[C@H](C[C@@H]1CCOC1)[NH3+]	EN300-2008984_i003
C#C[C@H](C[C@H]1CCOC1)[NH3+]	EN300-2008984_i004
COC(=O)[C@@]1(CC[NH2+]C1)CC#C	EN300-6480555_i001
COC(=O)[C@]1(CC[NH2+]C1)CC#C	EN300-6480555_i002
C#CCNC(=O)CC[NH3+]	EN300-7539348_i001
C#C[C@@H]1C[NH2+]CCO1	EN300-22118333_i001
C#C[C@H]1C[NH2+]CCO1	EN300-22118333_i002
COC(=O)c1ccncc1C#CC[NH3+]	EN300-26982171_i001
COC(=O)[C@@]1(CCC[NH2+]C1)CC#C	EN300-6488730_i001
COC(=O)[C@]1(CCC[NH2+]C1)CC#C	EN300-6488730_i002
COC(=O)C1(CC[NH2+]CC1)CC#C	EN300-6482411_i001
C#C[C@@H](CC1CCOCC1)[NH3+]	EN300-6494043_i001
C#C[C@H](CC1CCOCC1)[NH3+]	EN300-6494043_i002
CC(C)[C@@H](C(=O)OCC#C)[NH3+]	EN300-6487474_i001
CCOC(=O)[C@@]1(CC[NH2+]C1)CC#C	EN300-1722538_i001
CCOC(=O)[C@]1(CC[NH2+]C1)CC#C	EN300-1722538_i002
C#CC[NH2+]Cc1cccnc1	EN300-6746207_i001
C#CCCC[C@H](c1ccc(cc1)Br)[NH3+]	EN300-4413720_i001
C#CCCC[C@@H](c1ccc(cc1)Br)[NH3+]	EN300-4413720_i002
C#C[C@H](c1ccc(cc1)Br)[NH3+]	EN300-6491849_i001
C#C[C@@H](c1ccc(cc1)Br)[NH3+]	EN300-6491849_i002
COC(=O)C[C@@H](CC#C)[NH3+]	EN300-7439257_i001
COC(=O)C[C@H](CC#C)[NH3+]	EN300-7439257_i002
C[N@](CC#C)C1CC[NH2+]CC1	EN300-37273104_i001
C[N@@](CC#C)C1CC[NH2+]CC1	EN300-37273104_i002
C[C@H]([C@@H](C#C)[NH3+])OC	EN300-7456655_i001
C[C@H]([C@H](C#C)[NH3+])OC	EN300-7456655_i002
C[C@@H]([C@@H](C#C)[NH3+])OC	EN300-7456655_i003
C[C@@H]([C@H](C#C)[NH3+])OC	EN300-7456655_i004
C#C[C@H](C1CCOCC1)[NH3+]	EN300-305288_i001
C#C[C@@H](C1CCOCC1)[NH3+]	EN300-305288_i002
C#CCOc1ccc(cc1)CC[NH3+]	EN300-57003_i001
C#CCS(=O)(=O)CC[NH3+]	EN300-128987_i001
C#CCOC1CCC(CC1)[NH3+]	EN300-207817_i001
C#C[C@H](c1cccc(c1)Br)[NH3+]	EN300-7491894_i001
C#C[C@@H](c1cccc(c1)Br)[NH3+]	EN300-7491894_i002
CCOC(C#CC[NH3+])OCC	EN300-7547805_i001
C#CC[C@@H]1C[NH2+]CCO1	EN300-26621759_i001
C#CC[C@H]1C[NH2+]CCO1	EN300-26621759_i002
Cn1cc(cn1)C#CC[NH3+]	EN300-1231911_i001
CCOC(C#C[C@H](C)[NH3+])OCC	EN300-26571524_i001
CCOC(C#C[C@@H](C)[NH3+])OCC	EN300-26571524_i002
COC(=O)c1ccc(cc1)C#CC[NH3+]	EN300-10004827_i001
C#CCOC1C[NH2+]C1	EN300-1222611_i001
C(CO)C#CC[NH3+]	EN300-7091151_i001
C[C@@H](COc1cccc(c1)C(=O)OCC#C)[NH3+]	EN300-26673429_i001
C[C@H](COc1cccc(c1)C(=O)OCC#C)[NH3+]	EN300-26673429_i002
C#CCOc1ccc(cc1C[NH3+])Cl	EN300-26677884_i001
C[C@](CC#C)(C[NH3+])CO	EN300-7066267_i001
C[C@@](CC#C)(C[NH3+])CO	EN300-7066267_i002
C#CCOC[C@@H]1CCC[NH2+]1	EN300-26865432_i001
C#CCO[C@@H]1CC[NH2+]C1	EN300-26866303_i001
C#CCOCCC[NH3+]	EN300-7624053_i001
CCOC(=O)c1cccc(c1)C#CC[NH3+]	EN300-26974834_i001
C#CCC[N@]1CCC[C@H](C1)[NH3+]	EN300-26869297_i001
C#CCC[N@@]1CCC[C@H](C1)[NH3+]	EN300-26869297_i002
C#CCC[N@]1CCC[C@@H](C1)[NH3+]	EN300-26869297_i003
C#CCC[N@@]1CCC[C@@H](C1)[NH3+]	EN300-26869297_i004
C#CCOC[C@H]1CCC[NH2+]1	EN300-26977276_i001
C#CC[C@H](C(=O)N)[NH3+]	EN300-118938_i001
C#CC[C@@H](C(=O)N)[NH3+]	EN300-118938_i002
C[C@@H](C(=O)NCC#C)N1CC[NH2+]CC1	EN300-145314_i001
C[C@H](C(=O)NCC#C)N1CC[NH2+]CC1	EN300-145314_i002
C#CC[C@@H](CO)[NH3+]	EN300-215264_i001
C#CC[C@H](CO)[NH3+]	EN300-215264_i002
C#C[C@]1(CCOC1)[NH3+]	EN300-27684941_i001
C#C[C@@]1(CCOC1)[NH3+]	EN300-27684941_i002
C#CCC[N@@]1CCC[NH2+]CC1	EN300-27686677_i001
C#CCC[N@]1CCC[NH2+]CC1	EN300-27686677_i002
COC(=O)C1(CC(C1)C#C)[NH3+]	EN300-27149777_i001
COC(=O)C1(CC(C1)C#C)[NH3+]	EN300-27149777_i002
C#CCOCC[NH3+]	EN300-134148_i001
CC#CCN1CC[NH2+]CC1	EN300-1215718_i001
C#CC1(CCOCC1)[NH3+]	EN300-27150243_i001
C#CCNC(=O)c1ccc(cc1)C[NH3+]	EN300-10038696_i001
C#CC1(CC2(C1)CCOCC2)[NH3+]	EN300-27147413_i001
COC(=O)C#CC1CCC(CC1)[NH3+]	EN300-7492670_i001
COC(=O)C#CC1CCC(CC1)[NH3+]	EN300-7492670_i002
c1c(cnc(c1C#CC[NH3+])F)Cl	EN300-27708178_i001
c1cc(ccc1C#CC[NH3+])I	EN300-27694705_i001
CC(C)(C#C)[NH2+]CCO	EN300-2973878_i001
COC(=O)C#CC1(CCCC1)[NH3+]	EN300-7426563_i001
C#CC(CO)(CO)[NH3+]	EN300-27717613_i001
CN(C)C1(CC[NH2+]CC1)C#C	EN300-27754203_i001
COC(=O)c1cc(cnc1)C#CC[NH3+]	EN300-26983558_i001
COc1ccc(cc1OCC#C)C[NH3+]	EN300-63981_i001
C[C@@H](C#CC(=O)OC)[NH3+]	EN300-27780157_i001
C[C@H](C#CC(=O)OC)[NH3+]	EN300-27780157_i002
C(C[NH3+])C#CCO	EN300-27754874_i001
C#CC1(CCOCC1)N2CC[NH2+]CC2	EN300-27152300_i001
C#CCNC(=O)C1(CC1)[NH3+]	EN300-7790124_i001
CC(C)[NH2+][C@@H](COC)C#C	EN300-28256688_i001
CC(C)[NH2+][C@H](COC)C#C	EN300-28256688_i002
COCC#CC[NH3+]	EN300-20880380_i001
C[N@@]1CC[NH2+]C[C@@H]1C#C	EN300-28254326_i001
C[N@@]1CC[NH2+]C[C@H]1C#C	EN300-28254326_i002
C[N@]1CC[NH2+]C[C@@H]1C#C	EN300-28254326_i003
C[N@]1CC[NH2+]C[C@H]1C#C	EN300-28254326_i004
C#C[C@]1(CCc2c1ccc(c2)Br)[NH3+]	EN300-28315993_i001
C#C[C@@]1(CCc2c1ccc(c2)Br)[NH3+]	EN300-28315993_i002
COC(=O)C#CCC[NH3+]	EN300-28332917_i001
C#CC1(CCC1)N2CC[NH2+]CC2	EN300-28309332_i001
C#C[C@@H]1C[NH2+]C[C@H]1O	EN300-37080558_i001
c1cc(cc(c1)F)C#CC[NH3+]	EN300-202929_i001
C#CC[NH2+]CCCO	EN300-4204431_i001
C#CCC[NH2+]CCO	EN300-4292153_i001
C1CCO[C@@H](C1)C#CC[NH3+]	EN300-754580_i001
C1CCO[C@H](C1)C#CC[NH3+]	EN300-754580_i002
COC(=O)C#CC1C[NH2+]C1	EN300-6492219_i001
C#CC[C@@H]1COCC[NH2+]1	EN300-7442703_i001
C#CC[C@H]1COCC[NH2+]1	EN300-7442703_i002
C#CCSCC[NH3+]	EN300-82628_i001
CC(C)[NH2+]CCCO	EN300-50913_i001
CN1CCC(CC1)[NH2+]CCO	EN300-50243_i001
CN1CCC(CC1)[NH2+]CCO	EN300-50243_i002
C1C[NH+](CCC1O)CCC[NH3+]	EN300-50244_i001
C1C[NH+](CCC1O)CCC[NH3+]	EN300-50244_i002
C1C[C@H](C[C@H](C1)O)[NH3+]	EN300-42951_i001
C1C[C@H](C[C@@H](C1)O)[NH3+]	EN300-42951_i002
C1C[C@@H](C[C@H](C1)O)[NH3+]	EN300-42951_i003
C1C[C@@H](C[C@@H](C1)O)[NH3+]	EN300-42951_i004
c1cc(cc(c1)O)N2CC[NH2+]CC2	EN300-21779_i001
c1ccc(cc1)[C@@H](CCO)[NH3+]	EN300-39414_i001
c1ccc(cc1)[C@H](CCO)[NH3+]	EN300-39414_i002
c1ccc2cc(ccc2c1)[C@H](C[NH3+])O	EN300-73440_i001
c1ccc2cc(ccc2c1)[C@@H](C[NH3+])O	EN300-73440_i002
COc1cc(ccc1O)CC[NH3+]	EN300-77642_i001
C[C@@H](c1ccccc1)[NH2+]Cc2ccccc2O	EN300-08587_i001
C[C@H](c1ccccc1)[NH2+]Cc2ccccc2O	EN300-08587_i002
c1cc(ccc1CCC2CC[NH2+]CC2)O	EN300-25930_i001
C[NH2+]Cc1ccc(c(c1)OC)O	EN300-29890_i001
C[C@@H](CCc1ccc(cc1)O)[NH3+]	EN300-25929_i001
C[C@H](CCc1ccc(cc1)O)[NH3+]	EN300-25929_i002
C1C[NH2+]CC[N@@](C1)CCO	EN300-69993_i001
C1C[NH2+]CC[N@](C1)CCO	EN300-69993_i002
COc1ccc(cc1)[C@@H](CCO)[NH3+]	EN300-70058_i001
COc1ccc(cc1)[C@H](CCO)[NH3+]	EN300-70058_i002
c1ccc(cc1)[C@@H](C2CC[NH2+]CC2)O	EN300-26854_i001
c1ccc(cc1)[C@H](C2CC[NH2+]CC2)O	EN300-26854_i002
c1cc(oc1)C[C@H](C[NH3+])CO	EN300-28818_i001
c1cc(oc1)C[C@@H](C[NH3+])CO	EN300-28818_i002
c1cc(ccc1C[NH3+])c2ccc(cc2)O	EN300-27304_i001
c1cc(ncc1C[NH3+])[N@@]2CCCC[C@@H]2CCO	EN300-43349_i001
c1cc(ncc1C[NH3+])[N@@]2CCCC[C@H]2CCO	EN300-43349_i002
c1cc(ncc1C[NH3+])[N@]2CCCC[C@@H]2CCO	EN300-43349_i003
c1cc(ncc1C[NH3+])[N@]2CCCC[C@H]2CCO	EN300-43349_i004
CC(C)(CCC[NH3+])CO	EN300-84776_i001
C1CC1[NH2+]CCO	EN300-37102_i001
c1ccc(cc1)COC[C@H](C[NH3+])O	EN300-69620_i001
c1ccc(cc1)COC[C@@H](C[NH3+])O	EN300-69620_i002
c1ccc(c(c1)[C@H](C[NH3+])O)Cl	EN300-83981_i001
c1ccc(c(c1)[C@@H](C[NH3+])O)Cl	EN300-83981_i002
c1ccc(c(c1)[C@H](C[NH3+])O)F	EN300-36104_i001
c1ccc(c(c1)[C@@H](C[NH3+])O)F	EN300-36104_i002
c1cc(oc1)[C@H](C[NH3+])O	EN300-36910_i001
c1cc(oc1)[C@@H](C[NH3+])O	EN300-36910_i002
COc1cc(cc(c1)OC)[C@@H](C[NH3+])O	EN300-80690_i001
COc1cc(cc(c1)OC)[C@H](C[NH3+])O	EN300-80690_i002
COc1ccc(c(c1)[C@@H](C[NH3+])O)OC	EN300-36742_i001
COc1ccc(c(c1)[C@H](C[NH3+])O)OC	EN300-36742_i002
C1C[NH+](CCC1O)CCC[NH3+]	EN300-49839_i001
C1C[NH+](CCC1O)CCC[NH3+]	EN300-49839_i002
Cc1c(c(n(n1)C)C)[C@@H](C[NH3+])O	EN300-36146_i001
Cc1c(c(n(n1)C)C)[C@H](C[NH3+])O	EN300-36146_i002
C[NH2+]Cc1cccc(c1)O	EN300-45560_i001
C1CC[NH+](CC1)C[C@H](CN)O	EN300-39850_i001
C1CC[NH+](CC1)C[C@@H](CN)O	EN300-39850_i002
c1cc(ccc1[C@H](C[NH3+])O)F	EN300-36694_i001
c1cc(ccc1[C@@H](C[NH3+])O)F	EN300-36694_i002
COc1ccccc1C[NH2+]CCCO	EN300-14778_i001
c1cc(ccc1C(=O)N2CC[NH2+]CC2)O	EN300-31975_i001
COc1cc(ccc1OCCO)C[NH3+]	EN300-45144_i001
C1CC(CCC1CO)[NH3+]	EN300-49496_i001
C1CC(CCC1CO)[NH3+]	EN300-49496_i002
CCC(CC)[NH2+]CCO	EN300-39162_i001
COc1ccc(cc1O)C[NH3+]	EN300-40869_i001
C1CCC(CC1)(CO)[NH3+]	EN300-40958_i001
C[C@@H](C[NH2+]Cc1ccccc1)O	EN300-84483_i001
C[C@H](C[NH2+]Cc1ccccc1)O	EN300-84483_i002
CC[NH2+]Cc1ccc(c(c1)OCC)O	EN300-38912_i001
c1cc2c(cc1O)C[NH2+]CC2	EN300-39187_i001
C[NH2+][C@H]1c2cc(cc(c2C[C@H]1O)Cl)Cl	EN300-36484_i001
C[NH2+][C@H]1c2cc(cc(c2C[C@@H]1O)Cl)Cl	EN300-36484_i002
C[NH2+][C@@H]1c2cc(cc(c2C[C@H]1O)Cl)Cl	EN300-36484_i003
C[NH2+][C@@H]1c2cc(cc(c2C[C@@H]1O)Cl)Cl	EN300-36484_i004
c1cc(c(cc1C[NH3+])F)N2CCC(CC2)O	EN300-45190_i001
c1cc(c(cc1C[NH3+])F)N2CCC(CC2)O	EN300-45190_i002
C1CCC(CC1)[C@H](C[NH3+])O	EN300-36150_i001
C1CCC(CC1)[C@@H](C[NH3+])O	EN300-36150_i002
c1cc(cc(c1)O)C[NH3+]	EN300-50958_i001
CC(C)(C)[NH2+]Cc1ccc(c(c1)OC)O	EN300-49768_i001
c1cc(cc(c1)O)C(=O)N2CCC(CC2)[NH3+]	EN300-43032_i001
c1c2c(n(n1)CCO)CCC[C@H]2[NH3+]	EN300-41187_i001
c1c2c(n(n1)CCO)CCC[C@@H]2[NH3+]	EN300-41187_i002
